symbol,exchange,quantity,type
VTL,NSE,22,MIS
ELGIRUBCO,NSE,140,MIS
RELIABLE,NSE,67,MIS
OLAELEC,NSE,182,MIS
ADVENZYMES,NSE,31,MIS
LOTUSEYE,NSE,92,MIS
TIRUMALCHM,NSE,34,MIS
MSTCLTD,NSE,22,MIS
NACLIND,NSE,37,MIS
ROHLTD,NSE,19,MIS
INDIASHLTR,NSE,11,MIS
RBZJEWEL,NSE,72,MIS
CRIZAC,NSE,29,MIS
VIMTALABS,NSE,15,MIS
RTNINDIA,NSE,165,MIS
BHARATSE,NSE,72,MIS
TRIVENI,NSE,28,MIS
ROSSTECH,NSE,15,MIS
DENTA,NSE,24,MIS
TNPETRO,NSE,95,MIS
AARTIPHARM,NSE,12,MIS
ESTER,NSE,90,MIS
JTEKTINDIA,NSE,75,MIS
INOXGREEN,NSE,67,MIS
REMSONSIND,NSE,83,MIS
ELIN,NSE,54,MIS
RBA,NSE,125,MIS
GHCLTEXTIL,NSE,126,MIS
RICOAUTO,NSE,111,MIS
PURVA,NSE,35,MIS
EDELWEISS,NSE,90,MIS
GOLDIAM,NSE,28,MIS
AVALON,NSE,12,MIS
KALYANKJIL,NSE,20,MIS
ENGINERSIN,NSE,50,MIS
RELINFRA,NSE,37,MIS
GANESHBE,NSE,106,MIS
BAJAJCON,NSE,43,MIS
DELTACORP,NSE,114,MIS
KOLTEPATIL,NSE,21,MIS
SWANENERGY,NSE,22,MIS
THOMASCOOK,NSE,56,MIS
WESTLIFE,NSE,14,MIS
KHAICHEM,NSE,94,MIS
STARHEALTH,NSE,23,MIS
KANSAINER,NSE,42,MIS
VAIBHAVGBL,NSE,47,MIS
GOKULAGRO,NSE,30,MIS
MOIL,NSE,30,MIS
STYLEBAAZA,NSE,31,MIS
VIPIND,NSE,24,MIS
SGLTL,NSE,55,MIS
LEMONTREE,NSE,60,MIS
NDLVENTURE,NSE,111,MIS
PROTEAN,NSE,11,MIS
INFOBEAN,NSE,16,MIS
SYRMA,NSE,14,MIS
DEEPINDS,NSE,19,MIS
JSL,NSE,12,MIS
NATCOPHARM,NSE,12,MIS
RKFORGE,NSE,17,MIS
GMDCLTD,NSE,24,MIS
BLKASHYAP,NSE,144,MIS
MARATHON,NSE,16,MIS
SCI,NSE,47,MIS
BIRLAMONEY,NSE,55,MIS
HBLENGINE,NSE,13,MIS
NIITMTS,NSE,30,MIS
PSPPROJECT,NSE,14,MIS
SUBROS,NSE,11,MIS
MOLDTKPAC,NSE,13,MIS
CUPID,NSE,58,MIS
JSWINFRA,NSE,33,MIS
MONQ50,NSE,123,MIS
DOLATALGO,NSE,124,MIS
MUTHOOTMF,NSE,65,MIS
GROWWSLVR,NSE,86,MIS
SAGCEM,NSE,39,MIS
DCXINDIA,NSE,38,MIS
GOLDETFADD,NSE,101,MIS
SILVRETF,NSE,87,MIS
PETRONET,NSE,37,MIS
GOCOLORS,NSE,14,MIS
GUJAPOLLO,NSE,19,MIS
SILVERADD,NSE,88,MIS
TDPOWERSYS,NSE,20,MIS
FLAIR,NSE,32,MIS
SANDUMA,NSE,23,MIS
INDOSTAR,NSE,38,MIS
NYKAA,NSE,43,MIS
WEL,NSE,76,MIS
ADSL,NSE,63,MIS
SILVER,NSE,85,MIS
BRIGADE,NSE,10,MIS
GOKEX,NSE,14,MIS
TANLA,NSE,16,MIS
SBISILVER,NSE,87,MIS
SILVERIETF,NSE,85,MIS
DIFFNKG,NSE,28,MIS
IZMO,NSE,14,MIS
FUSION,NSE,59,MIS
SILVERETF,NSE,88,MIS
PARAGMILK,NSE,43,MIS
HDFCSILVER,NSE,89,MIS
WINDLAS,NSE,10,MIS
SENCO,NSE,27,MIS
JAYBARMARU,NSE,118,MIS
INDORAMA,NSE,197,MIS
SAREGAMA,NSE,21,MIS
NAVNETEDUL,NSE,66,MIS
SILVERBEES,NSE,89,MIS
KALPATARU,NSE,26,MIS
NEWGEN,NSE,11,MIS
JINDALSAW,NSE,50,MIS
REDTAPE,NSE,82,MIS
AXISILVER,NSE,85,MIS
20MICRONS,NSE,43,MIS
NFL,NSE,105,MIS
GOLDIETF,NSE,115,MIS
SETFGOLD,NSE,115,MIS
BANCOINDIA,NSE,17,MIS
REDINGTON,NSE,43,MIS
HDFCGOLD,NSE,115,MIS
PDSL,NSE,31,MIS
GOLDETF,NSE,101,MIS
GOLDBEES,NSE,118,MIS
NIACL,NSE,52,MIS
QGOLDHALF,NSE,119,MIS
STALLION,NSE,67,MIS
GOLD1,NSE,118,MIS
BSLGOLDETF,NSE,112,MIS
AXISGOLD,NSE,118,MIS
BERGEPAINT,NSE,19,MIS
GOLDSHARE,NSE,117,MIS
DEVYANI,NSE,57,MIS
GROWWGOLD,NSE,100,MIS
NELCO,NSE,12,MIS
SCHNEIDER,NSE,12,MIS
ARVIND,NSE,35,MIS
FINOPB,NSE,37,MIS
NTPCGREEN,NSE,97,MIS
BLUSPRING,NSE,125,MIS
SILVER1,NSE,88,MIS
SKIPPER,NSE,19,MIS
ESILVER,NSE,85,MIS
COALINDIA,NSE,27,MIS
ADANIPOWER,NSE,17,MIS
OSWALAGRO,NSE,128,MIS
GOPAL,NSE,27,MIS
DBREALTY,NSE,59,MIS
JAMNAAUTO,NSE,99,MIS
MINDACORP,NSE,20,MIS
HARIOMPIPE,NSE,21,MIS
UNIPARTS,NSE,25,MIS
SHREERAMA,NSE,191,MIS
MON100,NSE,49,MIS
EKC,NSE,73,MIS
SARLAPOLY,NSE,97,MIS
INDIACEM,NSE,26,MIS
SSWL,NSE,47,MIS
RHIM,NSE,21,MIS
EGOLD,NSE,98,MIS
WSI,NSE,131,MIS
MUFIN,NSE,118,MIS
CASTROLIND,NSE,50,MIS
IGARASHI,NSE,21,MIS
ARTEMISMED,NSE,45,MIS
HITECH,NSE,116,MIS
ELGIEQUIP,NSE,21,MIS
JKTYRE,NSE,31,MIS
DIGITIDE,NSE,49,MIS
JKPAPER,NSE,26,MIS
BEPL,NSE,95,MIS
APOLLOTYRE,NSE,22,MIS
VASCONEQ,NSE,200,MIS
KPRMILL,NSE,10,MIS
VARROC,NSE,19,MIS
ACMESOLAR,NSE,35,MIS
SHRIRAMPPS,NSE,116,MIS
YATHARTH,NSE,14,MIS
SHREEPUSHK,NSE,31,MIS
EXICOM,NSE,70,MIS
DDEVPLSTIK,NSE,32,MIS
EVEREADY,NSE,24,MIS
RIIL,NSE,11,MIS
BIKAJI,NSE,13,MIS
QPOWER,NSE,13,MIS
MAFANG,NSE,64,MIS
TOP10ADD,NSE,106,MIS
JAYNECOIND,NSE,170,MIS
CONCOR,NSE,19,MIS
FILATEX,NSE,192,MIS
BAJFINANCE,NSE,11,MIS
AARTIDRUGS,NSE,21,MIS
GAEL,NSE,98,MIS
MASPTOP50,NSE,156,MIS
RADIANTCMS,NSE,170,MIS
BSOFT,NSE,27,MIS
RPTECH,NSE,35,MIS
LINCOLN,NSE,18,MIS
PNCINFRA,NSE,33,MIS
GROWWLIQID,NSE,95,MIS
KTKBANK,NSE,59,MIS
LIQUID,NSE,10,MIS
LIQUIDBEES,NSE,10,MIS
LIQUIDIETF,NSE,10,MIS
HNGSNGBEES,NSE,22,MIS
LIQUIDCASE,NSE,91,MIS
CARBORUNIV,NSE,11,MIS
SUPRIYA,NSE,15,MIS
MBAPL,NSE,23,MIS
ZEEL,NSE,85,MIS
JUBLINGREA,NSE,14,MIS
SALZERELEC,NSE,12,MIS
GREENPANEL,NSE,37,MIS
UGROCAP,NSE,59,MIS
CEIGALL,NSE,41,MIS
INDIQUBE,NSE,46,MIS
TALBROAUTO,NSE,38,MIS
GILT5YBEES,NSE,161,MIS
INDIAGLYCO,NSE,12,MIS
HINDCOPPER,NSE,43,MIS
FAZE3Q,NSE,23,MIS
OMAXAUTO,NSE,67,MIS
TI,NSE,21,MIS
JAGSNPHARM,NSE,43,MIS
HDFCLIFE,NSE,13,MIS
ARISINFRA,NSE,67,MIS
BOMDYEING,NSE,58,MIS
JINDRILL,NSE,16,MIS
PNGJL,NSE,18,MIS
MANYAVAR,NSE,13,MIS
WELCORP,NSE,11,MIS
SURYAROSNI,NSE,36,MIS
GAIL,NSE,58,MIS
GODREJAGRO,NSE,14,MIS
RATEGAIN,NSE,20,MIS
CROMPTON,NSE,31,MIS
PRSMJOHNSN,NSE,68,MIS
RELIGARE,NSE,42,MIS
ATHERENERG,NSE,23,MIS
MAHSEAMLES,NSE,15,MIS
ARIES,NSE,23,MIS
HINDPETRO,NSE,26,MIS
ITCHOTELS,NSE,42,MIS
SHAREINDIA,NSE,67,MIS
SAURASHCEM,NSE,87,MIS
MARINE,NSE,60,MIS
TFCILTD,NSE,33,MIS
APOLLO,NSE,41,MIS
ONGC,NSE,43,MIS
IOC,NSE,72,MIS
ELECTCAST,NSE,102,MIS
BLS,NSE,27,MIS
FEDERALBNK,NSE,52,MIS
SAMBHV,NSE,82,MIS
KOPRAN,NSE,64,MIS
PSUBANKADD,NSE,145,MIS
RAYMONDREL,NSE,16,MIS
SAMMAANCAP,NSE,85,MIS
TNPL,NSE,62,MIS
TRANSRAILL,NSE,13,MIS
IGL,NSE,48,MIS
KECL,NSE,86,MIS
SUNTV,NSE,18,MIS
BPCL,NSE,32,MIS
INDIANB,NSE,15,MIS
THEMISMED,NSE,100,MIS
GRANULES,NSE,21,MIS
ZAGGLE,NSE,25,MIS
GIPCL,NSE,55,MIS
CLEDUCATE,NSE,87,MIS
SHAKTIPUMP,NSE,12,MIS
FORTIS,NSE,11,MIS
NIFTYETF,NSE,38,MIS
BAJAJHFL,NSE,89,MIS
INDHOTEL,NSE,13,MIS
ONMOBILE,NSE,199,MIS
BORORENEW,NSE,18,MIS
ICICIB22,NSE,95,MIS
MONARCH,NSE,31,MIS
M&MFIN,NSE,39,MIS
NAVA,NSE,15,MIS
BEL,NSE,27,MIS
WIPRO,NSE,40,MIS
ORIENTHOT,NSE,74,MIS
SUMICHEM,NSE,18,MIS
SIMPLEXINF,NSE,34,MIS
NAVKARCORP,NSE,84,MIS
USHAMART,NSE,26,MIS
BALMLAWRIE,NSE,46,MIS
RAJESHEXPO,NSE,57,MIS
SAIL,NSE,84,MIS
BARBEQUE,NSE,38,MIS
UFO,NSE,135,MIS
KPEL,NSE,24,MIS
ITC,NSE,25,MIS
SUNTECK,NSE,26,MIS
LLOYDSENGG,NSE,155,MIS
AEGISLOG,NSE,14,MIS
HERITGFOOD,NSE,22,MIS
UDS,NSE,41,MIS
FINPIPE,NSE,48,MIS
ANDHRSUGAR,NSE,132,MIS
ASAHIINDIA,NSE,12,MIS
HEIDELBERG,NSE,48,MIS
PCBL,NSE,27,MIS
NIFTYIETF,NSE,36,MIS
HIKAL,NSE,39,MIS
NATIONALUM,NSE,54,MIS
FINCABLES,NSE,12,MIS
DLF,NSE,13,MIS
VSTIND,NSE,37,MIS
SHREDIGCEM,NSE,104,MIS
AUTOBEES,NSE,39,MIS
MOSCHIP,NSE,60,MIS
NUVOCO,NSE,22,MIS
EXIDEIND,NSE,25,MIS
ZIMLAB,NSE,136,MIS
CHENNPETRO,NSE,15,MIS
JSFB,NSE,20,MIS
NTPC,NSE,30,MIS
SETFNIF50,NSE,38,MIS
MVGJL,NSE,50,MIS
VISAKAIND,NSE,121,MIS
ABSLAMC,NSE,12,MIS
SBIN,NSE,12,MIS
SONACOMS,NSE,22,MIS
JAIBALAJI,NSE,100,MIS
CHOICEIN,NSE,13,MIS
MANAKCOAT,NSE,68,MIS
ETERNAL,NSE,32,MIS
NIFTYBEES,NSE,36,MIS
LAURUSLABS,NSE,12,MIS
UTINIFTETF,NSE,37,MIS
MCLOUD,NSE,123,MIS
GENUSPOWER,NSE,29,MIS
MASFIN,NSE,33,MIS
CPSEETF,NSE,114,MIS
UTIBANKETF,NSE,180,MIS
GANDHAR,NSE,68,MIS
GHCL,NSE,18,MIS
YATRA,NSE,68,MIS
ACI,NSE,15,MIS
ELLEN,NSE,19,MIS
BANKBARODA,NSE,43,MIS
BANKIETF,NSE,181,MIS
IFCI,NSE,194,MIS
JUBLFOOD,NSE,16,MIS
PENIND,NSE,41,MIS
JKLAKSHMI,NSE,11,MIS
JYOTHYLAB,NSE,30,MIS
TEXRAIL,NSE,73,MIS
GEOJITFSL,NSE,140,MIS
ARE&M,NSE,10,MIS
COMSYN,NSE,75,MIS
ROTO,NSE,121,MIS
MARICO,NSE,14,MIS
HINDALCO,NSE,14,MIS
INDRAMEDCO,NSE,22,MIS
VEDL,NSE,24,MIS
EIHOTEL,NSE,25,MIS
STARCEMENT,NSE,36,MIS
CAMPUS,NSE,39,MIS
GPTINFRA,NSE,87,MIS
HDFCSML250,NSE,60,MIS
MANALIPETC,NSE,155,MIS
AJAXENGG,NSE,15,MIS
CONSUMBEES,NSE,75,MIS
BANKBEES,NSE,18,MIS
TATASTEEL,NSE,65,MIS
TATAMOTORS,NSE,15,MIS
BELRISE,NSE,71,MIS
MOTHERSON,NSE,109,MIS
GLOBECIVIL,NSE,127,MIS
OPTIEMUS,NSE,18,MIS
PTC,NSE,56,MIS
SANSTAR,NSE,123,MIS
EMAMILTD,NSE,18,MIS
PRAJIND,NSE,25,MIS
AWL,NSE,40,MIS
DAMCAPITAL,NSE,45,MIS
PSUBNKBEES,NSE,132,MIS
ZYDUSLIFE,NSE,10,MIS
JASH,NSE,19,MIS
QUESS,NSE,38,MIS
INFRAIETF,NSE,109,MIS
63MOONS,NSE,11,MIS
KNRCON,NSE,52,MIS
DCMSRIND,NSE,64,MIS
SHALBY,NSE,53,MIS
VGUARD,NSE,28,MIS
UPL,NSE,14,MIS
BALUFORGE,NSE,16,MIS
GUJTHEM,NSE,26,MIS
AWFIS,NSE,18,MIS
TIMETECHNO,NSE,22,MIS
IOLCP,NSE,110,MIS
GRAPHITE,NSE,19,MIS
SAMHI,NSE,49,MIS
PRECWIRE,NSE,58,MIS
HDBFS,NSE,13,MIS
IDFCFIRSTB,NSE,147,MIS
BFUTILITIE,NSE,12,MIS
AVANTIFEED,NSE,16,MIS
GNFC,NSE,19,MIS
SULA,NSE,40,MIS
IEX,NSE,72,MIS
DHANI,NSE,160,MIS
ACLGATI,NSE,162,MIS
TIPSMUSIC,NSE,18,MIS
ZUARI,NSE,26,MIS
ADANIGREEN,NSE,11,MIS
KRISHANA,NSE,17,MIS
SANATHAN,NSE,20,MIS
HSCL,NSE,22,MIS
AGI,NSE,11,MIS
CGPOWER,NSE,15,MIS
ASTERDM,NSE,17,MIS
TRITURBINE,NSE,19,MIS
SMARTWORKS,NSE,21,MIS
GODIGIT,NSE,27,MIS
ICICIPRULI,NSE,16,MIS
VISHNU,NSE,20,MIS
ALIVUS,NSE,11,MIS
MOM100,NSE,166,MIS
COHANCE,NSE,11,MIS
IMAGICAA,NSE,176,MIS
KIMS,NSE,14,MIS
NCLIND,NSE,47,MIS
VENTIVE,NSE,14,MIS
SUZLON,NSE,178,MIS
SIRCA,NSE,22,MIS
HUBTOWN,NSE,28,MIS
AVTNPL,NSE,139,MIS
SUNDARMHLD,NSE,21,MIS
HONASA,NSE,34,MIS
PARKHOTELS,NSE,67,MIS
WELSPUNLIV,NSE,89,MIS
KEC,NSE,12,MIS
ORIENTTECH,NSE,33,MIS
NRBBEARING,NSE,35,MIS
MUKANDLTD,NSE,78,MIS
ASHOKLEY,NSE,77,MIS
BALAJEE,NSE,195,MIS
LATENTVIEW,NSE,24,MIS
HEMIPROP,NSE,75,MIS
ASHAPURMIN,NSE,21,MIS
JAGRAN,NSE,141,MIS
ABCAPITAL,NSE,36,MIS
LLOYDSENT,NSE,142,MIS
MOMENTUM50,NSE,199,MIS
JINDALSTEL,NSE,10,MIS
JUNIORBEES,NSE,14,MIS
JUNIPER,NSE,35,MIS
DCAL,NSE,37,MIS
INSECTICID,NSE,12,MIS
AADHARHFC,NSE,20,MIS
RISHABH,NSE,25,MIS
PNB,NSE,99,MIS
FMCGIETF,NSE,169,MIS
INDUSINDBK,NSE,13,MIS
RVNL,NSE,32,MIS
CANBK,NSE,96,MIS
WELENT,NSE,22,MIS
GOCLCORP,NSE,28,MIS
UNIECOM,NSE,75,MIS
NEXT50IETF,NSE,144,MIS
SARDAEN,NSE,17,MIS
MID150BEES,NSE,46,MIS
MAHABANK,NSE,190,MIS
GREAVESCOT,NSE,50,MIS
PSUBNKIETF,NSE,146,MIS
BODALCHEM,NSE,155,MIS
MMTC,NSE,163,MIS
GESHIP,NSE,11,MIS
HERANBA,NSE,28,MIS
SAPPHIRE,NSE,31,MIS
RCF,NSE,67,MIS
CELLO,NSE,19,MIS
AEROENTER,NSE,116,MIS
MOBIKWIK,NSE,45,MIS
DOLLAR,NSE,28,MIS
MODISONLTD,NSE,63,MIS
ARIHANTCAP,NSE,91,MIS
NETWORK18,NSE,190,MIS
VIJAYA,NSE,10,MIS
PREMEXPLN,NSE,20,MIS
EMBDL,NSE,105,MIS
IKIO,NSE,47,MIS
GSFC,NSE,51,MIS
TVSSCS,NSE,81,MIS
BIOCON,NSE,28,MIS
ZUARIIND,NSE,31,MIS
BHEL,NSE,48,MIS
CARYSIL,NSE,12,MIS
INDOAMIN,NSE,67,MIS
MODEFENCE,NSE,123,MIS
GATEWAY,NSE,153,MIS
GENESYS,NSE,18,MIS
HUDCO,NSE,49,MIS
MANAPPURAM,NSE,38,MIS
RUCHIRA,NSE,69,MIS
SPORTKING,NSE,92,MIS
SANGHIIND,NSE,158,MIS
GUJGASLTD,NSE,24,MIS
PANACEABIO,NSE,26,MIS
SRD,NSE,130,MIS
SBICARD,NSE,12,MIS
KRBL,NSE,23,MIS
MEDPLUS,NSE,12,MIS
PFOCUS,NSE,69,MIS
HEG,NSE,21,MIS
KIOCL,NSE,25,MIS
MADRASFERT,NSE,114,MIS
DBL,NSE,22,MIS
VERTOZ,NSE,129,MIS
DCBBANK,NSE,83,MIS
INDGN,NSE,18,MIS
BALRAMCHIN,NSE,18,MIS
MOREALTY,NSE,113,MIS
ASIANTILES,NSE,168,MIS
RELAXO,NSE,22,MIS
GUFICBIO,NSE,27,MIS
ARKADE,NSE,57,MIS
HDFCBANK,NSE,10,MIS
RUPA,NSE,53,MIS
TTML,NSE,178,MIS
LTF,NSE,46,MIS
PPLPHARMA,NSE,54,MIS
PRICOLLTD,NSE,22,MIS
SPARC,NSE,71,MIS
NOVAAGRI,NSE,197,MIS
DABUR,NSE,19,MIS
PARADEEP,NSE,45,MIS
AVANTEL,NSE,69,MIS
NMDC,NSE,145,MIS
SONATSOFTW,NSE,28,MIS
HINDOILEXP,NSE,62,MIS
ABDL,NSE,20,MIS
VMM,NSE,66,MIS
SATIA,NSE,119,MIS
PICCADIL,NSE,17,MIS
KIRIINDUS,NSE,19,MIS
SUNFLAG,NSE,37,MIS
J&KBANK,NSE,101,MIS
JTLIND,NSE,137,MIS
TARIL,NSE,20,MIS
SWSOLAR,NSE,38,MIS
GMRP&UI,NSE,89,MIS
IGCL,NSE,94,MIS
NOCIL,NSE,57,MIS
FEDFINA,NSE,74,MIS
ITI,NSE,35,MIS
PRAKASH,NSE,64,MIS
PARAS,NSE,16,MIS
PFC,NSE,26,MIS
TATAPOWER,NSE,27,MIS
GICRE,NSE,27,MIS
IXIGO,NSE,36,MIS
EUREKAFORB,NSE,18,MIS
FIVESTAR,NSE,18,MIS
RAMCOIND,NSE,33,MIS
BANDHANBNK,NSE,61,MIS
EIEL,NSE,40,MIS
RBLBANK,NSE,40,MIS
SPANDANA,NSE,41,MIS
KARURVYSYA,NSE,47,MIS
INTELLECT,NSE,10,MIS
JIOFIN,NSE,32,MIS
SHALPAINTS,NSE,137,MIS
NIVABUPA,NSE,122,MIS
CANTABIL,NSE,39,MIS
MANINFRA,NSE,62,MIS
CCL,NSE,12,MIS
CMSINFO,NSE,24,MIS
NIITLTD,NSE,92,MIS
ANDHRAPAP,NSE,130,MIS
GROWWDEFNC,NSE,135,MIS
DEEDEV,NSE,38,MIS
AEROFLEX,NSE,58,MIS
TEJASNET,NSE,17,MIS
MRPL,NSE,82,MIS
TATACHEM,NSE,11,MIS
MUNJALAU,NSE,113,MIS
BANKINDIA,NSE,91,MIS
NHPC,NSE,128,MIS
GSPL,NSE,34,MIS
HCG,NSE,15,MIS
MAMATA,NSE,25,MIS
ORIENTCEM,NSE,44,MIS
TBZ,NSE,54,MIS
NCC,NSE,48,MIS
CANFINHOME,NSE,14,MIS
AMBUJACEM,NSE,18,MIS
AKUMS,NSE,21,MIS
FCL,NSE,42,MIS
SDBL,NSE,73,MIS
DELHIVERY,NSE,21,MIS
POWERGRID,NSE,36,MIS
MUFTI,NSE,80,MIS
HINDZINC,NSE,24,MIS
ASIANENE,NSE,28,MIS
RADHIKAJWE,NSE,107,MIS
BLISSGVS,NSE,63,MIS
RAJOOENG,NSE,99,MIS
NBCC,NSE,101,MIS
CHAMBLFERT,NSE,18,MIS
CUB,NSE,50,MIS
JMFINANCIL,NSE,55,MIS
PRECAM,NSE,59,MIS
CAPACITE,NSE,35,MIS
TARC,NSE,62,MIS
UNIONBANK,NSE,79,MIS
SERVOTECH,NSE,82,MIS
AJMERA,NSE,11,MIS
PNBHOUSING,NSE,13,MIS
MAXESTATES,NSE,22,MIS
FSL,NSE,29,MIS
INDUSTOWER,NSE,30,MIS
DATAMATICS,NSE,10,MIS
RAILTEL,NSE,30,MIS
RAYMOND,NSE,17,MIS
SHK,NSE,42,MIS
BHARATWIRE,NSE,58,MIS
DCW,NSE,136,MIS
TAJGVK,NSE,24,MIS
OIL,NSE,26,MIS
ORIENTELEC,NSE,48,MIS
LICI,NSE,12,MIS
VBL,NSE,20,MIS
HPL,NSE,22,MIS
IDBI,NSE,111,MIS
ECOSMOBLTY,NSE,36,MIS
AUBANK,NSE,14,MIS
GPTHEALTH,NSE,68,MIS
IIFLCAPS,NSE,33,MIS
SATIN,NSE,75,MIS
IRFC,NSE,84,MIS
IONEXCHANG,NSE,24,MIS
MANINDS,NSE,26,MIS
IREDA,NSE,71,MIS
MOTILALOFS,NSE,11,MIS
SPLPETRO,NSE,13,MIS
MARKSANS,NSE,59,MIS
ANTHEM,NSE,12,MIS
KRN,NSE,11,MIS
SWIGGY,NSE,24,MIS
STAR,NSE,12,MIS
ADANIENSOL,NSE,13,MIS
EPACK,NSE,27,MIS
IGIL,NSE,30,MIS
CYIENTDLM,NSE,24,MIS
MANGCHEFER,NSE,29,MIS
HEXT,NSE,13,MIS
REFEX,NSE,28,MIS
KCP,NSE,51,MIS
OMINFRAL,NSE,98,MIS
SENORES,NSE,14,MIS
XCHANGING,NSE,115,MIS
JBMA,NSE,17,MIS
LICHSGFIN,NSE,18,MIS
VESUVIUS,NSE,20,MIS
AARTIIND,NSE,27,MIS
RITES,NSE,41,MIS
ALEMBICLTD,NSE,99,MIS
IPL,NSE,47,MIS
PDMJEPAPER,NSE,74,MIS
RECLTD,NSE,28,MIS
MAHLOG,NSE,32,MIS
PPL,NSE,32,MIS
SMSPHARMA,NSE,44,MIS
IRCTC,NSE,14,MIS
SAKSOFT,NSE,48,MIS
RATNAVEER,NSE,70,MIS
ICIL,NSE,43,MIS
TATATECH,NSE,15,MIS
SPMLINFRA,NSE,38,MIS
KIRLOSENG,NSE,11,MIS
JAICORPLTD,NSE,84,MIS
PNBGILTS,NSE,101,MIS
HAPPSTMNDS,NSE,18,MIS
ASKAUTOLTD,NSE,21,MIS
QUICKHEAL,NSE,34,MIS
GMRAIRPORT,NSE,116,MIS
IDEAFORGE,NSE,22,MIS
LAXMIDENTL,NSE,30,MIS
ORICONENT,NSE,189,MIS
GPIL,NSE,43,MIS
LXCHEM,NSE,49,MIS
ARVINDFASN,NSE,20,MIS
DYCL,NSE,23,MIS
KAMATHOTEL,NSE,34,MIS
EMSLIMITED,NSE,19,MIS
MAHLIFE,NSE,29,MIS
LTFOODS,NSE,23,MIS
EQUITASBNK,NSE,197,MIS
SBFC,NSE,95,MIS
ANANTRAJ,NSE,19,MIS
CGCL,NSE,54,MIS
IRCON,NSE,62,MIS
EMIL,NSE,80,MIS
AFCONS,NSE,24,MIS
ASHOKA,NSE,58,MIS
SEQUENT,NSE,59,MIS
AVL,NSE,20,MIS
GRMOVER,NSE,27,MIS
WSTCSTPAPR,NSE,20,MIS
ELECON,NSE,19,MIS
MOL,NSE,121,MIS
SCODATUBES,NSE,59,MIS
OSWALPUMPS,NSE,12,MIS
MASTERTR,NSE,64,MIS
PGEL,NSE,18,MIS
AEGISVOPAK,NSE,40,MIS
KSB,NSE,12,MIS
STOVEKRAFT,NSE,16,MIS
PRINCEPIPE,NSE,31,MIS
HIMATSEIDE,NSE,84,MIS
HFCL,NSE,143,MIS
SKYGOLD,NSE,34,MIS
VRLLOG,NSE,37,MIS
KPIGREEN,NSE,21,MIS
HINDWAREAP,NSE,32,MIS
SNOWMAN,NSE,197,MIS
JSWENERGY,NSE,20,MIS
BHAGCHEM,NSE,38,MIS
ITDCEM,NSE,14,MIS
SYNGENE,NSE,16,MIS
BLUEJET,NSE,15,MIS
MAHEPC,NSE,61,MIS
MIDHANI,NSE,27,MIS
JWL,NSE,31,MIS
JYOTICNC,NSE,11,MIS
JGCHEM,NSE,22,MIS
SJVN,NSE,104,MIS
REPCOHOME,NSE,29,MIS
CHEMCON,NSE,48,MIS
IIFL,NSE,23,MIS
THELEELA,NSE,25,MIS
RAIN,NSE,73,MIS
SFL,NSE,14,MIS
RGL,NSE,92,MIS
EPL,NSE,45,MIS
ZENSARTECH,NSE,13,MIS
NAM-INDIA,NSE,13,MIS
TITAGARH,NSE,12,MIS
SHARDACROP,NSE,11,MIS
GPPL,NSE,66,MIS
APTUS,NSE,31,MIS
SBCL,NSE,20,MIS
SIGNPOST,NSE,36,MIS
GALLANTT,NSE,17,MIS
VERANDA,NSE,45,MIS
DIACABS,NSE,72,MIS
ABLBL,NSE,75,MIS
NLCINDIA,NSE,44,MIS
INOXWIND,NSE,73,MIS
SUVEN,NSE,47,MIS
VINCOFE,NSE,68,MIS
RSYSTEMS,NSE,22,MIS
DREAMFOLKS,NSE,73,MIS
SHYAMMETL,NSE,11,MIS
HLEGLAS,NSE,20,MIS
NORTHARC,NSE,42,MIS
SHRIRAMFIN,NSE,17,MIS
DMCC,NSE,32,MIS
JKIL,NSE,16,MIS
WCIL,NSE,81,MIS
STLTECH,NSE,83,MIS
AARVI,NSE,86,MIS
BLACKBUCK,NSE,16,MIS
EMAMIPAP,NSE,96,MIS
TARACHAND,NSE,143,MIS
SPIC,NSE,96,MIS
GARUDA,NSE,51,MIS
FACT,NSE,11,MIS
SHANKARA,NSE,11,MIS
OMAXE,NSE,119,MIS
PROSTARM,NSE,53,MIS
TOLINS,NSE,66,MIS
AGARWALEYE,NSE,23,MIS
CSBBANK,NSE,27,MIS
MEDIASSIST,NSE,19,MIS
SANGHVIMOV,NSE,30,MIS
NELCAST,NSE,66,MIS
CESC,NSE,65,MIS
BESTAGRO,NSE,28,MIS
MEGASOFT,NSE,72,MIS
EBGNG,NSE,30,MIS
QUADFUTURE,NSE,26,MIS
SURAJEST,NSE,33,MIS
CAMLINFINE,NSE,48,MIS
KITEX,NSE,59,MIS
BGRENERGY,NSE,61,MIS
NITCO,NSE,86,MIS
POONAWALLA,NSE,23,MIS
APEX,NSE,46,MIS
KROSS,NSE,52,MIS
SAILIFE,NSE,12,MIS
PAKKA,NSE,67,MIS
FIRSTCRY,NSE,28,MIS
ABFRL,NSE,128,MIS
INDOFARM,NSE,46,MIS
VPRPL,NSE,72,MIS
BIGBLOC,NSE,182,MIS
IFGLEXPOR,NSE,41,MIS
KALAMANDIR,NSE,57,MIS
RALLIS,NSE,29,MIS
ATGL,NSE,17,MIS
